"","alpha","beta","sigma","theta","t","riskyChoiceProb_globalMean","averageReward_globalMean"
"1",0.3,2,0,1,1,0.5,4.39747180431451
"2",0.3,2,0,1,2,0.579004076385887,4.55016715269866
"3",0.3,2,0,1,3,0.641309091526702,4.68995304210654
"4",0.3,2,0,1,4,0.654408739946359,4.82343335902921
"5",0.3,2,0,1,5,0.692082006891251,4.77377855702828
"6",0.3,2,0,1,6,0.720743316580504,4.70242734830475
"7",0.3,2,0,1,7,0.738350008127649,4.74520141078986
"8",0.3,2,0,1,8,0.74717835726641,4.64414220364394
"9",0.3,2,0,1,9,0.765362422281857,4.72575458207093
"10",0.3,2,0,1,10,0.773493354239321,4.76655972327421
"11",0.3,2,0,1,11,0.779926851609701,4.73143530673857
"12",0.3,2,0,1,12,0.792301772894263,4.97145472553395
"13",0.3,2,0,1,13,0.808435001445338,4.96997099116534
"14",0.3,2,0,1,14,0.828018898387483,4.77056979392833
"15",0.3,2,0,1,15,0.828851447063978,4.69945303982135
"16",0.3,2,0,1,16,0.832573347743858,4.86929139521966
"17",0.3,2,0,1,17,0.846648750770504,5.03180390972649
"18",0.3,2,0,1,18,0.841366940085601,4.85216244703665
"19",0.3,2,0,1,19,0.839346499220069,4.91216682956058
"20",0.3,2,0,1,20,0.839442743170142,4.97540079758447
"21",0.3,2,0,1,21,0.836250483436085,4.70195245222161
"22",0.3,2,0,1,22,0.835435529415955,4.85863550537249
"23",0.3,2,0,1,23,0.840002136790911,4.90743264300862
"24",0.3,2,0,1,24,0.82862669995592,4.72357892616794
"25",0.3,2,0,1,25,0.825927169448892,4.86064776494681
"26",0.3,2,0,1,26,0.831288358021626,4.92113892424489
"27",0.3,2,0,1,27,0.844711810742635,4.82595210757332
"28",0.3,2,0,1,28,0.84110201929507,4.85303746190493
"29",0.3,2,0,1,29,0.848740720841127,4.93924206935562
"30",0.3,2,0,1,30,0.853100846311929,4.7120370922287
"31",0.3,2,0,1,31,0.862052507122098,4.93080137087332
"32",0.3,2,0,1,32,0.866087070562028,4.81073689340509
"33",0.3,2,0,1,33,0.854428853154564,4.82222682888232
"34",0.3,2,0,1,34,0.845763191992292,4.7239365526562
"35",0.3,2,0,1,35,0.853757703128129,4.92892743116529
"36",0.3,2,0,1,36,0.848558706839473,4.79685913709674
"37",0.3,2,0,1,37,0.853117147072241,4.80950518206958
"38",0.3,2,0,1,38,0.833123029541871,4.86786226906404
"39",0.3,2,0,1,39,0.846344386975265,5.04535158094537
"40",0.3,2,0,1,40,0.859707109866423,4.86041324533993
"41",0.3,2,0,1,41,0.85215830604685,4.76064738567727
"42",0.3,2,0,1,42,0.849843868964401,5.01422911438115
"43",0.3,2,0,1,43,0.852874561274469,4.74832508206648
"44",0.3,2,0,1,44,0.851916290289897,4.95726816652403
"45",0.3,2,0,1,45,0.855437067255596,4.7744905828923
"46",0.3,2,0,1,46,0.860383119184957,4.91669640860968
"47",0.3,2,0,1,47,0.853391056141235,4.77586473185776
"48",0.3,2,0,1,48,0.862105070432707,4.84925132229379
"49",0.3,2,0,1,49,0.852631652398063,4.95730413087148
"50",0.3,2,0,1,50,0.868377125815465,4.93084529291153
"51",0.3,2,0,1,51,0.878053472036786,4.97916370084135
"52",0.3,2,0,1,52,0.878761001168608,4.71487624766523
"53",0.3,2,0,1,53,0.864477068973424,4.73890839026564
"54",0.3,2,0,1,54,0.861546145977586,4.79176656308133
"55",0.3,2,0,1,55,0.858988764074645,4.81053141105897
"56",0.3,2,0,1,56,0.859806769215116,4.91802835865419
"57",0.3,2,0,1,57,0.86260085217502,4.75674168876654
"58",0.3,2,0,1,58,0.85966477783548,4.72043582556514
"59",0.3,2,0,1,59,0.856516552121581,4.85549483845561
"60",0.3,2,0,1,60,0.862773496897433,4.89160985597963
"61",0.3,2,0,1,61,0.871883492332148,5.00057192740663
"62",0.3,2,0,1,62,0.87363545096966,4.90569806399326
"63",0.3,2,0,1,63,0.88034135626652,4.89076781888199
"64",0.3,2,0,1,64,0.872539747743724,4.79382661130107
"65",0.3,2,0,1,65,0.87497323168972,5.03287227047266
"66",0.3,2,0,1,66,0.886630951566038,4.97180622323938
"67",0.3,2,0,1,67,0.886782196446727,5.0937888382796
"68",0.3,2,0,1,68,0.888326801318921,5.00886545713609
"69",0.3,2,0,1,69,0.890064973613828,4.76139111493165
"70",0.3,2,0,1,70,0.878372288276335,4.87921191962075
"71",0.3,2,0,1,71,0.867108818690899,4.89646664916195
"72",0.3,2,0,1,72,0.856400201431256,4.96999378740306
"73",0.3,2,0,1,73,0.876343280583884,4.9313855219054
"74",0.3,2,0,1,74,0.879213967313718,4.9128531565305
"75",0.3,2,0,1,75,0.882379219544832,4.84851338387135
"76",0.3,2,0,1,76,0.870239208117233,5.0605487051007
"77",0.3,2,0,1,77,0.881110273819452,4.76543319769969
"78",0.3,2,0,1,78,0.876037911524058,4.81032422684154
"79",0.3,2,0,1,79,0.866156321561279,5.00906617227609
"80",0.3,2,0,1,80,0.865566384419827,4.79493348114614
"81",0.3,2,0,1,81,0.869668057253116,5.01408445677981
"82",0.3,2,0,1,82,0.863944280582031,5.01366842062707
"83",0.3,2,0,1,83,0.865159097512737,4.73821583182973
"84",0.3,2,0,1,84,0.860003859662908,4.86630997869504
"85",0.3,2,0,1,85,0.856210926279875,4.84256259417812
"86",0.3,2,0,1,86,0.853366775606751,4.73698275121506
"87",0.3,2,0,1,87,0.835704151058048,4.72043656012182
"88",0.3,2,0,1,88,0.845066972376973,4.84711759454117
"89",0.3,2,0,1,89,0.844166829088068,4.780614978109
"90",0.3,2,0,1,90,0.846021012500019,4.79940885642038
"91",0.3,2,0,1,91,0.847774547704447,4.95364557931579
"92",0.3,2,0,1,92,0.852523925304774,4.92700181785513
"93",0.3,2,0,1,93,0.843816830181945,4.85904487534327
"94",0.3,2,0,1,94,0.861616795976461,5.03362697969178
"95",0.3,2,0,1,95,0.865814343370259,4.86176024018053
"96",0.3,2,0,1,96,0.868676489934489,4.92052363906765
"97",0.3,2,0,1,97,0.877098745343376,4.85164045524051
"98",0.3,2,0,1,98,0.877431832313102,4.81107740824345
"99",0.3,2,0,1,99,0.879650275345973,4.7764777708715
"100",0.3,2,0,1,100,0.875891419005485,4.97018510997951
"101",0.3,2,0,3,1,0.5,4.4592949209698
"102",0.3,2,0,3,2,0.571280062007002,4.75370559200981
"103",0.3,2,0,3,3,0.624803070994798,4.6774981605925
"104",0.3,2,0,3,4,0.674792353346747,4.78145816406314
"105",0.3,2,0,3,5,0.680603009963688,4.65313096185282
"106",0.3,2,0,3,6,0.709289044358279,4.36771244468652
"107",0.3,2,0,3,7,0.725158350843969,4.86180989691366
"108",0.3,2,0,3,8,0.736341180703019,4.78325360001643
"109",0.3,2,0,3,9,0.741720979167511,4.77684768393167
"110",0.3,2,0,3,10,0.758993307379807,4.75811479191946
"111",0.3,2,0,3,11,0.761998446874227,4.84154745995376
"112",0.3,2,0,3,12,0.773394828669324,4.70067144429695
"113",0.3,2,0,3,13,0.77364266157203,4.75193905829835
"114",0.3,2,0,3,14,0.797109796199026,4.89304177473651
"115",0.3,2,0,3,15,0.809646191693954,4.86578329497739
"116",0.3,2,0,3,16,0.804947989144106,4.60884628920856
"117",0.3,2,0,3,17,0.80000487490631,4.87811686256047
"118",0.3,2,0,3,18,0.813189054993103,4.78209813448678
"119",0.3,2,0,3,19,0.824935037763402,4.75462421231265
"120",0.3,2,0,3,20,0.827962620994781,4.79468131799798
"121",0.3,2,0,3,21,0.820323943571045,4.73982636402213
"122",0.3,2,0,3,22,0.811972239410318,4.89824528316954
"123",0.3,2,0,3,23,0.815400309500366,4.79805951373703
"124",0.3,2,0,3,24,0.829411736957129,4.64826273263913
"125",0.3,2,0,3,25,0.816223407495603,4.67659461863534
"126",0.3,2,0,3,26,0.82492583451432,4.90757437977182
"127",0.3,2,0,3,27,0.821349058113117,4.75870744352601
"128",0.3,2,0,3,28,0.823203703650736,4.79624232830203
"129",0.3,2,0,3,29,0.825654088094828,4.65416399938199
"130",0.3,2,0,3,30,0.834729751618154,5.07779921460065
"131",0.3,2,0,3,31,0.855596381492812,4.90475155896788
"132",0.3,2,0,3,32,0.86554551188828,4.87808610792862
"133",0.3,2,0,3,33,0.860175106646208,4.77043828341075
"134",0.3,2,0,3,34,0.851577677054275,4.82707663792921
"135",0.3,2,0,3,35,0.843255411287155,4.84201530463148
"136",0.3,2,0,3,36,0.855947668154471,4.85289854540866
"137",0.3,2,0,3,37,0.870485600149526,4.69336219120916
"138",0.3,2,0,3,38,0.859704594786919,4.9039688639481
"139",0.3,2,0,3,39,0.862064517667162,4.78720666499082
"140",0.3,2,0,3,40,0.857517318149522,4.89606733940887
"141",0.3,2,0,3,41,0.851535660697895,4.84229122698834
"142",0.3,2,0,3,42,0.858275126116146,4.50728098124919
"143",0.3,2,0,3,43,0.851853382070769,4.79304659336928
"144",0.3,2,0,3,44,0.857791779323832,4.93805161070037
"145",0.3,2,0,3,45,0.877314116317961,4.81019178198432
"146",0.3,2,0,3,46,0.873408169150324,4.92737836356012
"147",0.3,2,0,3,47,0.873943886885908,5.0412265930931
"148",0.3,2,0,3,48,0.885930469241131,4.88809300654664
"149",0.3,2,0,3,49,0.884385434219426,4.92673370029007
"150",0.3,2,0,3,50,0.88004556908646,4.72624301344196
"151",0.3,2,0,3,51,0.869919763097903,4.86142748987227
"152",0.3,2,0,3,52,0.86447837413421,4.90991164784348
"153",0.3,2,0,3,53,0.865509254868407,4.84880108485658
"154",0.3,2,0,3,54,0.858625036706719,4.68584424499771
"155",0.3,2,0,3,55,0.854342556115891,4.7628671375833
"156",0.3,2,0,3,56,0.873101864944689,4.99227020034331
"157",0.3,2,0,3,57,0.882934725820248,4.98418211472581
"158",0.3,2,0,3,58,0.888795143326959,4.87964280203412
"159",0.3,2,0,3,59,0.876506770428442,4.87998705039232
"160",0.3,2,0,3,60,0.878294379035158,4.82603308374062
"161",0.3,2,0,3,61,0.873283913184446,4.98135638178286
"162",0.3,2,0,3,62,0.873925161430235,4.70590988823684
"163",0.3,2,0,3,63,0.865855855820385,4.93492371446966
"164",0.3,2,0,3,64,0.867216178129511,4.71723808388913
"165",0.3,2,0,3,65,0.860268688245631,4.85999720541732
"166",0.3,2,0,3,66,0.860576255198396,5.04683984536386
"167",0.3,2,0,3,67,0.870218776594523,4.94523993104035
"168",0.3,2,0,3,68,0.86484220601162,5.02493164840916
"169",0.3,2,0,3,69,0.871448296584042,4.98713355026648
"170",0.3,2,0,3,70,0.875515562566587,4.94197818415377
"171",0.3,2,0,3,71,0.868486680807859,4.8690668147158
"172",0.3,2,0,3,72,0.874663950832387,4.95265481647097
"173",0.3,2,0,3,73,0.870623371377639,4.86173089488056
"174",0.3,2,0,3,74,0.866409527826659,4.97770744591067
"175",0.3,2,0,3,75,0.869959350867987,4.8516012474329
"176",0.3,2,0,3,76,0.867073263950569,4.6958989991272
"177",0.3,2,0,3,77,0.851367538233252,4.73551983283607
"178",0.3,2,0,3,78,0.854550689004802,4.88593237093145
"179",0.3,2,0,3,79,0.849170980304254,4.93636605807142
"180",0.3,2,0,3,80,0.835147791960871,4.82913133408913
"181",0.3,2,0,3,81,0.846168188762526,4.84814823577954
"182",0.3,2,0,3,82,0.842729369426144,4.87106694448329
"183",0.3,2,0,3,83,0.854458227072866,4.61291238400577
"184",0.3,2,0,3,84,0.845570956257746,4.75659223419324
"185",0.3,2,0,3,85,0.839448299927355,4.62140105712838
"186",0.3,2,0,3,86,0.842436688554582,4.79718628387694
"187",0.3,2,0,3,87,0.842263709649002,4.84002088979781
"188",0.3,2,0,3,88,0.840718677509679,4.7131473475587
"189",0.3,2,0,3,89,0.848482289217681,5.10477591016706
"190",0.3,2,0,3,90,0.870152483844137,4.69663789892134
"191",0.3,2,0,3,91,0.873504329884943,4.75595240967858
"192",0.3,2,0,3,92,0.870977868606748,4.89097543422256
"193",0.3,2,0,3,93,0.877474956615991,4.76446832130003
"194",0.3,2,0,3,94,0.869083813679656,4.89165050362578
"195",0.3,2,0,3,95,0.868123238861965,4.91125022745932
"196",0.3,2,0,3,96,0.885632010727352,4.90323678509052
"197",0.3,2,0,3,97,0.884655653303548,4.85263281938562
"198",0.3,2,0,3,98,0.889965632931135,4.85765132928229
"199",0.3,2,0,3,99,0.884325022532125,4.88564858875802
"200",0.3,2,0,3,100,0.8718877189331,4.93330331543565
"201",0.3,2,0,5,1,0.5,4.67110922701893
"202",0.3,2,0,5,2,0.566675890322177,4.65107943928184
"203",0.3,2,0,5,3,0.630735944844264,4.61996139231022
"204",0.3,2,0,5,4,0.664938221657517,4.63682323814098
"205",0.3,2,0,5,5,0.687295570531481,4.74594395883936
"206",0.3,2,0,5,6,0.701763747948617,4.52433008393617
"207",0.3,2,0,5,7,0.721131124318951,4.78330990620671
"208",0.3,2,0,5,8,0.737409621921688,4.61094620634185
"209",0.3,2,0,5,9,0.733470904523901,4.81460464136119
"210",0.3,2,0,5,10,0.745515939440384,4.75505891426421
"211",0.3,2,0,5,11,0.76149111936853,4.88432881968683
"212",0.3,2,0,5,12,0.7793224779388,4.85904839237996
"213",0.3,2,0,5,13,0.791393057825317,4.92393527200444
"214",0.3,2,0,5,14,0.796172445612807,4.92602545725559
"215",0.3,2,0,5,15,0.804386936999439,4.90685188371258
"216",0.3,2,0,5,16,0.809804361696935,4.80702849369309
"217",0.3,2,0,5,17,0.803363422080423,5.00393758732781
"218",0.3,2,0,5,18,0.810370324361308,4.8404702833971
"219",0.3,2,0,5,19,0.801034355581362,4.73375828894318
"220",0.3,2,0,5,20,0.809800799277642,4.79748262752639
"221",0.3,2,0,5,21,0.801973587365297,4.59417771319084
"222",0.3,2,0,5,22,0.799415080323169,4.62762174101482
"223",0.3,2,0,5,23,0.798230117953721,4.73786834956094
"224",0.3,2,0,5,24,0.809049259832206,4.82506165042401
"225",0.3,2,0,5,25,0.802007805923101,4.74425133776412
"226",0.3,2,0,5,26,0.817836890943545,4.91614237054131
"227",0.3,2,0,5,27,0.821331774534542,4.90861092196757
"228",0.3,2,0,5,28,0.835085783145457,4.91429287030235
"229",0.3,2,0,5,29,0.850586137153125,4.73846632595047
"230",0.3,2,0,5,30,0.851800264428949,4.73942804692869
"231",0.3,2,0,5,31,0.851649725967264,4.75123191217001
"232",0.3,2,0,5,32,0.841953925423698,4.89519635869919
"233",0.3,2,0,5,33,0.840103529914548,4.83927693010324
"234",0.3,2,0,5,34,0.846686606639563,4.89755739056071
"235",0.3,2,0,5,35,0.85697277878535,4.72317946756509
"236",0.3,2,0,5,36,0.855594301121858,4.95767665951026
"237",0.3,2,0,5,37,0.864377484383444,4.91767623765509
"238",0.3,2,0,5,38,0.864013855261936,4.83398231808019
"239",0.3,2,0,5,39,0.860472557709557,4.78922792889243
"240",0.3,2,0,5,40,0.867070966646436,5.09116696439356
"241",0.3,2,0,5,41,0.86941192084939,4.90781676077306
"242",0.3,2,0,5,42,0.859131029297717,4.51711018760369
"243",0.3,2,0,5,43,0.854361578188549,4.89705774037385
"244",0.3,2,0,5,44,0.862746202721457,4.74693714997684
"245",0.3,2,0,5,45,0.864773273318874,4.62209147241393
"246",0.3,2,0,5,46,0.840655697822499,4.91259007787268
"247",0.3,2,0,5,47,0.840053485737476,4.91215974286157
"248",0.3,2,0,5,48,0.839494520762584,4.90757926566043
"249",0.3,2,0,5,49,0.851078356762916,4.79219732980814
"250",0.3,2,0,5,50,0.843260324261602,4.79042373862575
"251",0.3,2,0,5,51,0.841909091488033,4.90855195694659
"252",0.3,2,0,5,52,0.845547439042828,4.67821397875156
"253",0.3,2,0,5,53,0.841663301240034,4.77505518533244
"254",0.3,2,0,5,54,0.836357830061015,4.54025082494187
"255",0.3,2,0,5,55,0.832187921179887,4.83520305298308
"256",0.3,2,0,5,56,0.831257403981013,4.93472522333492
"257",0.3,2,0,5,57,0.850300025641291,4.87194576547604
"258",0.3,2,0,5,58,0.864003909502739,5.09275504895199
"259",0.3,2,0,5,59,0.885782626572348,4.92194550700308
"260",0.3,2,0,5,60,0.888021379976344,4.847309241782
"261",0.3,2,0,5,61,0.876713189663,4.90604469149489
"262",0.3,2,0,5,62,0.8793169220437,4.91826511939351
"263",0.3,2,0,5,63,0.874253265896911,4.9522780766427
"264",0.3,2,0,5,64,0.877951306237261,4.84416127141546
"265",0.3,2,0,5,65,0.87055468355072,4.9480644553707
"266",0.3,2,0,5,66,0.866237675800312,5.01936780377227
"267",0.3,2,0,5,67,0.865943922693022,4.7662058100131
"268",0.3,2,0,5,68,0.869662712641038,4.71039241157922
"269",0.3,2,0,5,69,0.864856267832396,4.85363942024786
"270",0.3,2,0,5,70,0.860910613993153,4.72932158033256
"271",0.3,2,0,5,71,0.865170722537746,4.8358097135849
"272",0.3,2,0,5,72,0.864223578866129,4.69412982166853
"273",0.3,2,0,5,73,0.862960583772571,4.85582904574777
"274",0.3,2,0,5,74,0.863304551698277,4.74705976857137
"275",0.3,2,0,5,75,0.859222204812156,4.8462792106714
"276",0.3,2,0,5,76,0.865804955186516,4.75302205322893
"277",0.3,2,0,5,77,0.864172675110895,4.86950210544727
"278",0.3,2,0,5,78,0.864834676353445,5.14554391421814
"279",0.3,2,0,5,79,0.872272007715029,4.91458901475655
"280",0.3,2,0,5,80,0.876708217946197,4.73415113652176
"281",0.3,2,0,5,81,0.865144601516901,4.81892309794409
"282",0.3,2,0,5,82,0.86809620944889,4.78724614731994
"283",0.3,2,0,5,83,0.874962206306038,4.96957895571992
"284",0.3,2,0,5,84,0.883058271198484,4.77654991297756
"285",0.3,2,0,5,85,0.886263724855993,4.80926781400606
"286",0.3,2,0,5,86,0.877199475096959,4.97811247116762
"287",0.3,2,0,5,87,0.881237339548016,4.841251273229
"288",0.3,2,0,5,88,0.867927784161483,5.05005872511052
"289",0.3,2,0,5,89,0.867857908802858,4.88541223266912
"290",0.3,2,0,5,90,0.87982049039682,4.95841899680555
"291",0.3,2,0,5,91,0.876587710210134,4.95972980228687
"292",0.3,2,0,5,92,0.880852052832336,4.95089270005724
"293",0.3,2,0,5,93,0.873132457716004,4.79181132466539
"294",0.3,2,0,5,94,0.865547819526706,4.9199052105395
"295",0.3,2,0,5,95,0.865964247097133,4.96893641432756
"296",0.3,2,0,5,96,0.865921912922102,4.78370816364513
"297",0.3,2,0,5,97,0.855118245945687,5.04474501354679
"298",0.3,2,0,5,98,0.862431683462859,4.8680986473634
"299",0.3,2,0,5,99,0.869491849959291,4.81914242343928
"300",0.3,2,0,5,100,0.858334921240716,4.89184760666449
"301",0.3,2,0,7,1,0.5,4.59070054274356
"302",0.3,2,0,7,2,0.562992527064991,4.4994563623425
"303",0.3,2,0,7,3,0.604035425083698,4.59666388659776
"304",0.3,2,0,7,4,0.640619369045392,4.77092440453205
"305",0.3,2,0,7,5,0.663542117636678,4.6135528059077
"306",0.3,2,0,7,6,0.665482983062205,4.61437494325277
"307",0.3,2,0,7,7,0.696176182153571,4.76578536175318
"308",0.3,2,0,7,8,0.72459775168098,4.80566301255925
"309",0.3,2,0,7,9,0.743748367838469,4.85618830500106
"310",0.3,2,0,7,10,0.760184340305885,4.77185448782938
"311",0.3,2,0,7,11,0.786403658219805,5.03384795220495
"312",0.3,2,0,7,12,0.804760335639032,4.7507365402543
"313",0.3,2,0,7,13,0.815741050738178,4.84449498909141
"314",0.3,2,0,7,14,0.815321934011475,4.80907455331938
"315",0.3,2,0,7,15,0.815682866485904,4.56565510442144
"316",0.3,2,0,7,16,0.812722199913165,4.95274003404427
"317",0.3,2,0,7,17,0.815180297900564,4.77209575127163
"318",0.3,2,0,7,18,0.8124416172762,4.85038217661878
"319",0.3,2,0,7,19,0.818196186654915,5.00613858653525
"320",0.3,2,0,7,20,0.830358556300923,4.72599401243479
"321",0.3,2,0,7,21,0.843874162630551,4.83091592442285
"322",0.3,2,0,7,22,0.848074375675223,4.95393877292571
"323",0.3,2,0,7,23,0.858270373657008,4.79607279244175
"324",0.3,2,0,7,24,0.84805862187564,4.90521579616351
"325",0.3,2,0,7,25,0.85015023853098,4.78636293164733
"326",0.3,2,0,7,26,0.846262004771883,4.83537467657909
"327",0.3,2,0,7,27,0.854446281026,4.87857219563522
"328",0.3,2,0,7,28,0.852837147166098,4.75549897161046
"329",0.3,2,0,7,29,0.850909288835727,4.84174437681895
"330",0.3,2,0,7,30,0.850728489670414,4.97777775662039
"331",0.3,2,0,7,31,0.856463107875578,4.82929613483187
"332",0.3,2,0,7,32,0.870852150744091,4.90024890661671
"333",0.3,2,0,7,33,0.865509030470023,4.84227834107193
"334",0.3,2,0,7,34,0.865005900208889,4.91146518461919
"335",0.3,2,0,7,35,0.863743352352556,4.8485270741818
"336",0.3,2,0,7,36,0.861584297042089,4.87560528371861
"337",0.3,2,0,7,37,0.862405841031093,4.83190118980003
"338",0.3,2,0,7,38,0.86387206699696,4.69231089841962
"339",0.3,2,0,7,39,0.86065484954052,4.86473332036445
"340",0.3,2,0,7,40,0.855906598112312,4.98859782135142
"341",0.3,2,0,7,41,0.865420086905734,4.76023733299086
"342",0.3,2,0,7,42,0.854428302669134,4.75032362204224
"343",0.3,2,0,7,43,0.851936806057411,4.84718127019188
"344",0.3,2,0,7,44,0.848018728516409,4.77233277757307
"345",0.3,2,0,7,45,0.85790212734449,4.78449918674619
"346",0.3,2,0,7,46,0.859612145202802,4.85407550476486
"347",0.3,2,0,7,47,0.863976309088678,4.9160180473521
"348",0.3,2,0,7,48,0.865295530410252,4.94444390577195
"349",0.3,2,0,7,49,0.86379755973578,4.88375164992148
"350",0.3,2,0,7,50,0.862021951611461,4.95758744289157
"351",0.3,2,0,7,51,0.869059615971717,4.768889815075
"352",0.3,2,0,7,52,0.867893489244616,4.82880469370004
"353",0.3,2,0,7,53,0.861801717162075,4.89434972776583
"354",0.3,2,0,7,54,0.862694979490399,4.88887304925142
"355",0.3,2,0,7,55,0.868051180802831,4.81149584312992
"356",0.3,2,0,7,56,0.865996244926084,4.88692124434962
"357",0.3,2,0,7,57,0.859147477046375,4.76384069368083
"358",0.3,2,0,7,58,0.855857957530356,4.97195170133477
"359",0.3,2,0,7,59,0.871746595778443,4.77098656515981
"360",0.3,2,0,7,60,0.866811096249733,4.84317775451793
"361",0.3,2,0,7,61,0.861742449332487,4.81505886361606
"362",0.3,2,0,7,62,0.853741933854152,4.94859222127346
"363",0.3,2,0,7,63,0.872034412194736,4.75665017757621
"364",0.3,2,0,7,64,0.883118225151266,4.85352401313885
"365",0.3,2,0,7,65,0.881287213085325,4.95724295174022
"366",0.3,2,0,7,66,0.888282635730349,4.87166403168756
"367",0.3,2,0,7,67,0.89569575507011,4.92481525407745
"368",0.3,2,0,7,68,0.892979529057306,4.7074593846655
"369",0.3,2,0,7,69,0.881755306428561,4.88745652845384
